ts_utc,latitude,longitude,altitude,airspeed
2025-11-19 15:25:15.000 UTC,35.160492593608794,-103.8573903048411,3131.5,110.31509339004783
2025-11-19 15:25:16.000 UTC,35.1605502335541,-103.85670357489958,3132.0,110.4371025668132
2025-11-19 15:25:17.000 UTC,35.160613985080275,-103.85602711452172,3130.375,110.46494629962356
2025-11-19 15:25:18.000 UTC,35.16067280229181,-103.85533468952404,3130.625,110.8286498033814
2025-11-19 15:25:19.000 UTC,35.160728356540204,-103.85464799696578,3131.375,110.3488697555312
2025-11-19 15:25:20.000 UTC,35.16079339049757,-103.85397759854794,3131.875,110.28017668436108
2025-11-19 15:25:21.000 UTC,35.160851415786894,-103.85328593831512,3109.25,109.69943637751685
2025-11-19 15:25:22.000 UTC,35.16095359319821,-103.85259920837358,3109.375,109.74525817175162
2025-11-19 15:25:23.000 UTC,35.1609566481784,-103.85192867947742,3110.5,109.74234634357242
2025-11-19 15:25:24.000 UTC,35.16100717065856,-103.8512369783968,3110.375,109.82855628027028
2025-11-19 15:25:25.000 UTC,35.161033934913576,-103.85055016832426,3110.375,109.63056349920224
2025-11-19 15:25:26.000 UTC,35.16110710669309,-103.84991687938572,3110.125,109.6648722867169
2025-11-19 15:25:27.000 UTC,35.16115960003808,-103.84918713988736,3087.125,109.76867728539852
2025-11-19 15:25:28.000 UTC,35.16120213260874,-103.84849529849366,3086.75,109.88994711066292
2025-11-19 15:25:29.000 UTC,35.16126749692485,-103.84787463817744,3084.125,109.79348627560265
2025-11-19 15:25:30.000 UTC,35.1613245732151,-103.8471380564198,3082.875,109.87677689067368
2025-11-19 15:25:31.000 UTC,35.16137361349538,-103.846445981171,3081.375,109.30346278380172
2025-11-19 15:25:32.000 UTC,35.161442066822204,-103.84582510471344,3078.875,109.39840451882148
2025-11-19 15:25:33.000 UTC,35.16150199687108,-103.84508473875005,3075.5,109.6257723923552
2025-11-19 15:25:34.000 UTC,35.16154930517077,-103.84438819399104,3072.875,110.4708788025397
2025-11-19 15:25:35.000 UTC,35.16161609943956,-103.84376144791024,3048.125,110.7492730204098
2025-11-19 15:25:36.000 UTC,35.161673048045486,-103.84301415352152,3044.625,111.12759407022848
2025-11-19 15:25:37.000 UTC,35.16180217238143,-103.84231073928996,3040.625,111.80416362169667
2025-11-19 15:25:38.000 UTC,35.161814878787844,-103.84164071034638,3036.75,111.84284225607406
2025-11-19 15:25:39.000 UTC,35.161850962881,-103.84093712646514,3033.625,112.58779019563625
2025-11-19 15:25:40.000 UTC,35.16197660453618,-103.8402341755852,3028.5,113.19178136794754
2025-11-19 15:25:41.000 UTC,35.161989251095804,-103.83954754136502,3022.875,113.11859916172956
2025-11-19 15:25:42.000 UTC,35.16202457025647,-103.83882332229987,3019.0,112.56140238408489
2025-11-19 15:25:43.000 UTC,35.1621496533975,-103.83812840620058,3014.75,113.36208249405396
2025-11-19 15:25:44.000 UTC,35.16216146416962,-103.837421218995,3010.375,113.26661511920985
2025-11-19 15:25:45.000 UTC,35.162193342112005,-103.83669549638404,3006.125,114.29044878337513
2025-11-19 15:25:46.000 UTC,35.162317437306044,-103.8360874157958,3003.25,114.50527258428396
2025-11-19 15:25:47.000 UTC,35.162331219709344,-103.83534843401983,2978.25,113.87920877032067
